	direction	jitter	stop_trial
0	0	2.25	1
1	0	3.0	0
2	1	1.5	0
3	1	2.25	0
4	1	3.0	1
5	1	3.0	0
6	1	3.0	0
7	1	0.75	0
8	0	1.5	0
9	0	0.75	0
10	0	3.0	0
11	1	3.0	0
12	1	3.0	0
13	0	0.75	0
14	1	1.5	0
15	1	2.25	0
16	0	0.75	1
17	0	2.25	1
18	0	0.75	0
19	1	2.25	0
20	1	0.75	0
21	1	0.75	0
22	1	0.75	0
23	0	1.5	0
24	1	1.5	0
25	0	2.25	0
26	1	3.0	1
27	1	3.0	0
28	0	0.75	0
29	0	3.0	1
30	0	0.75	0
31	1	1.5	0
32	0	2.25	1
33	0	1.5	1
34	0	3.0	0
35	0	2.25	0
36	1	3.0	0
37	0	0.75	1
38	0	0.75	1
39	1	0.75	0
40	1	2.25	0
41	0	3.0	0
42	0	1.5	1
43	0	2.25	0
44	1	3.0	0
45	0	3.0	1
46	0	3.0	0
47	0	1.5	1
48	0	3.0	0
49	0	2.25	0
50	1	2.25	0
51	0	2.25	0
52	0	2.25	1
53	1	3.0	1
54	1	1.5	1
55	1	1.5	0
56	0	1.5	0
57	0	1.5	1
58	1	0.75	0
59	0	1.5	0
60	0	1.5	1
61	0	0.75	0
62	1	1.5	0
63	1	3.0	0
64	1	1.5	0
65	0	0.75	0
66	0	2.25	1
67	1	0.75	0
68	0	3.0	0
69	1	1.5	0
70	1	3.0	0
71	1	1.5	0
72	0	2.25	0
73	1	0.75	0
74	1	1.5	0
75	1	2.25	0
76	1	0.75	0
77	1	3.0	0
78	0	1.5	0
79	1	3.0	0
80	1	1.5	0
81	1	0.75	0
82	0	1.5	1
83	0	2.25	0
84	1	0.75	0
85	1	2.25	1
86	1	2.25	1
87	0	3.0	1
88	0	2.25	0
89	1	3.0	0
90	0	2.25	0
91	0	0.75	0
92	0	3.0	0
93	0	2.25	0
94	0	2.25	0
95	0	1.5	0
96	0	3.0	0
97	1	0.75	0
98	1	1.5	1
99	0	0.75	0
100	1	3.0	0
101	1	1.5	0
102	1	3.0	1
103	0	1.5	0
104	0	2.25	0
105	0	0.75	1
106	1	0.75	1
107	1	3.0	1
108	1	2.25	0
109	1	1.5	0
