	direction	jitter	stop_trial
0	0	3.0	0
1	0	3.0	1
2	0	2.25	0
3	1	1.5	0
4	0	3.0	0
5	1	3.0	0
6	0	2.25	0
7	1	0.75	0
8	1	1.5	1
9	0	1.5	0
10	1	1.5	1
11	0	3.0	0
12	0	0.75	1
13	0	3.0	1
14	1	3.0	0
15	0	2.25	1
16	1	3.0	0
17	0	2.25	0
18	0	2.25	0
19	0	1.5	1
20	1	1.5	1
21	0	2.25	0
22	0	3.0	0
23	0	0.75	0
24	0	2.25	1
25	1	1.5	0
26	1	3.0	0
27	1	3.0	0
28	1	0.75	0
29	0	2.25	0
30	1	3.0	0
31	0	1.5	0
32	0	0.75	0
33	0	1.5	0
34	1	2.25	0
35	1	1.5	0
36	0	0.75	1
37	0	0.75	0
38	0	3.0	1
39	1	0.75	0
40	0	3.0	1
41	0	0.75	0
42	0	1.5	0
43	1	1.5	0
44	1	3.0	0
45	0	1.5	0
46	1	2.25	0
47	1	1.5	0
48	1	1.5	0
49	1	1.5	0
50	0	1.5	1
51	0	0.75	1
52	0	3.0	1
53	1	0.75	0
54	1	1.5	1
55	1	0.75	1
56	1	0.75	1
57	1	2.25	0
58	1	3.0	0
59	1	2.25	0
60	1	3.0	0
61	0	2.25	0
62	0	3.0	0
63	1	2.25	0
64	0	0.75	0
65	0	1.5	0
66	1	2.25	0
67	1	2.25	0
68	0	1.5	1
69	0	3.0	1
70	0	3.0	1
71	0	1.5	0
72	1	0.75	0
73	1	0.75	0
74	0	1.5	1
75	1	3.0	0
76	0	3.0	0
77	0	1.5	0
78	0	3.0	0
79	0	1.5	0
80	0	3.0	0
81	1	1.5	0
82	0	1.5	1
83	0	2.25	0
84	1	2.25	0
85	1	3.0	1
86	1	2.25	0
87	1	1.5	0
88	0	0.75	0
89	0	3.0	0
90	1	1.5	0
91	1	0.75	0
92	1	2.25	0
93	0	1.5	1
94	1	0.75	0
95	1	1.5	0
96	0	1.5	0
97	1	1.5	1
98	0	2.25	0
99	1	0.75	0
100	1	3.0	0
101	1	2.25	0
102	0	1.5	0
103	0	3.0	1
104	1	3.0	0
105	1	2.25	0
106	1	0.75	1
107	1	2.25	0
108	1	2.25	0
109	0	0.75	0
