	direction	jitter	stop_trial
0	1	0.75	0
1	1	2.25	0
2	0	3.0	0
3	1	2.25	1
4	1	0.75	0
5	1	1.5	1
6	0	3.0	1
7	0	0.75	0
8	0	1.5	0
9	0	1.5	0
10	1	3.0	1
11	1	1.5	0
12	0	3.0	1
13	0	2.25	1
14	1	3.0	0
15	0	3.0	0
16	1	2.25	0
17	1	0.75	0
18	0	3.0	0
19	1	0.75	0
20	0	3.0	1
21	0	0.75	0
22	0	1.5	0
23	0	0.75	1
24	1	1.5	1
25	1	2.25	1
26	0	3.0	0
27	1	1.5	1
28	0	0.75	0
29	1	3.0	0
30	0	2.25	0
31	0	1.5	0
32	1	3.0	0
33	0	0.75	0
34	1	1.5	0
35	1	1.5	1
36	1	0.75	0
37	0	3.0	1
38	0	0.75	0
39	0	1.5	0
40	1	2.25	0
41	0	1.5	1
42	0	1.5	0
43	0	1.5	0
44	1	1.5	0
45	0	2.25	0
46	1	3.0	0
47	1	2.25	0
48	0	0.75	1
49	1	0.75	1
50	0	2.25	0
51	0	0.75	0
52	0	2.25	0
53	0	2.25	0
54	1	2.25	0
55	1	0.75	0
56	0	1.5	1
57	1	3.0	0
58	0	1.5	1
59	1	1.5	0
60	1	0.75	0
61	0	1.5	0
62	1	1.5	0
63	1	2.25	0
64	1	2.25	0
65	1	0.75	0
66	0	0.75	0
67	0	2.25	0
68	0	2.25	0
69	0	3.0	0
70	1	3.0	0
71	1	2.25	0
72	1	1.5	1
73	0	1.5	0
74	1	0.75	1
75	0	3.0	0
76	0	2.25	0
77	1	3.0	0
78	1	0.75	0
79	0	0.75	0
80	1	2.25	0
81	1	2.25	1
82	0	1.5	0
83	1	0.75	0
84	0	1.5	0
85	1	1.5	0
86	0	1.5	1
87	0	3.0	0
88	1	2.25	0
89	1	0.75	1
90	1	1.5	0
91	1	2.25	1
92	0	2.25	0
93	0	1.5	1
94	0	1.5	0
95	1	2.25	0
96	1	2.25	0
97	0	1.5	0
98	0	3.0	0
99	1	1.5	0
100	1	1.5	0
101	0	0.75	1
102	0	2.25	0
103	0	1.5	1
104	1	2.25	0
105	0	3.0	0
106	0	1.5	0
107	1	0.75	1
108	1	3.0	0
109	1	2.25	0
