	direction	jitter	stop_trial
0	1	2.25	0
1	1	0.75	0
2	0	2.25	0
3	1	3.0	0
4	1	2.25	0
5	0	3.0	0
6	0	2.25	0
7	0	2.25	0
8	1	1.5	0
9	0	1.5	0
10	0	2.25	0
11	0	3.0	0
12	1	3.0	0
13	0	3.0	0
14	1	1.5	1
15	1	3.0	1
16	0	0.75	0
17	1	0.75	1
18	0	2.25	0
19	1	1.5	0
20	0	3.0	1
21	1	3.0	1
22	1	2.25	0
23	1	2.25	0
24	0	3.0	0
25	0	2.25	0
26	0	2.25	0
27	1	3.0	0
28	0	2.25	0
29	1	1.5	0
30	1	0.75	0
31	0	3.0	0
32	0	3.0	0
33	0	0.75	0
34	0	3.0	1
35	1	0.75	0
36	1	1.5	1
37	0	3.0	1
38	0	0.75	1
39	0	1.5	0
40	0	2.25	1
41	0	1.5	0
42	1	3.0	0
43	1	2.25	0
44	1	0.75	0
45	1	1.5	0
46	1	3.0	1
47	1	2.25	0
48	0	1.5	0
49	1	3.0	0
50	1	2.25	1
51	0	1.5	0
52	1	1.5	0
53	1	1.5	1
54	0	3.0	1
55	0	0.75	0
56	0	0.75	0
57	0	0.75	1
58	1	0.75	1
59	0	2.25	0
60	1	3.0	0
61	0	0.75	0
62	1	3.0	0
63	0	0.75	0
64	0	0.75	0
65	1	1.5	0
66	0	0.75	1
67	0	2.25	0
68	0	2.25	0
69	1	1.5	0
70	1	0.75	0
71	0	1.5	0
72	1	0.75	1
73	1	2.25	0
74	0	1.5	1
75	1	1.5	0
76	1	2.25	0
77	1	0.75	1
78	1	0.75	0
79	1	0.75	1
80	1	2.25	1
81	1	1.5	0
82	1	2.25	1
83	1	3.0	0
84	1	0.75	1
85	0	0.75	0
86	1	0.75	1
87	0	3.0	0
88	0	2.25	0
89	0	2.25	0
90	1	3.0	1
91	0	2.25	0
92	1	1.5	0
93	1	3.0	1
94	0	3.0	0
95	0	0.75	0
96	0	3.0	0
97	1	1.5	1
98	0	0.75	0
99	0	0.75	0
100	0	3.0	0
101	0	0.75	0
102	1	1.5	0
103	1	3.0	0
104	1	3.0	0
105	0	3.0	0
106	0	1.5	0
107	0	2.25	0
108	1	3.0	0
109	0	1.5	0
