	direction	jitter	stop_trial
0	0	3.0	0
1	1	1.5	0
2	0	0.75	0
3	0	2.25	1
4	1	0.75	1
5	1	3.0	1
6	0	0.75	1
7	0	1.5	0
8	0	3.0	0
9	0	3.0	0
10	1	2.25	0
11	1	2.25	0
12	0	0.75	0
13	0	1.5	0
14	0	0.75	1
15	0	2.25	0
16	1	3.0	1
17	1	0.75	0
18	1	2.25	1
19	0	1.5	0
20	1	0.75	0
21	0	3.0	1
22	0	0.75	1
23	0	1.5	1
24	1	1.5	1
25	1	2.25	0
26	1	2.25	0
27	1	3.0	0
28	1	3.0	0
29	0	0.75	0
30	0	0.75	0
31	0	1.5	1
32	1	2.25	0
33	0	2.25	0
34	1	1.5	0
35	0	0.75	0
36	1	2.25	0
37	1	3.0	0
38	0	1.5	0
39	1	1.5	0
40	0	1.5	0
41	1	1.5	0
42	0	0.75	0
43	1	3.0	0
44	1	0.75	0
45	1	2.25	1
46	0	2.25	0
47	1	1.5	0
48	1	0.75	1
49	1	1.5	0
50	1	3.0	0
51	1	2.25	0
52	1	2.25	0
53	1	1.5	1
54	1	0.75	0
55	1	1.5	0
56	0	0.75	0
57	1	2.25	0
58	0	2.25	1
59	1	2.25	1
60	0	2.25	0
61	1	3.0	1
62	0	3.0	1
63	1	2.25	0
64	1	2.25	0
65	0	3.0	1
66	1	1.5	0
67	1	1.5	0
68	0	2.25	0
69	1	0.75	0
70	0	1.5	1
71	0	2.25	0
72	0	2.25	0
73	1	2.25	1
74	1	0.75	0
75	0	1.5	0
76	0	1.5	0
77	1	2.25	0
78	0	1.5	0
79	1	1.5	0
80	0	0.75	0
81	1	3.0	0
82	1	1.5	0
83	1	0.75	0
84	1	0.75	0
85	0	2.25	0
86	0	2.25	0
87	0	2.25	1
88	0	3.0	1
89	0	1.5	0
90	1	2.25	0
91	0	1.5	0
92	0	0.75	0
93	0	3.0	0
94	0	0.75	1
95	0	2.25	0
96	0	1.5	0
97	0	1.5	1
98	1	3.0	0
99	1	3.0	0
100	0	0.75	1
101	0	3.0	0
102	0	0.75	0
103	0	3.0	1
104	1	2.25	0
105	1	0.75	0
106	0	0.75	0
107	1	3.0	0
108	1	3.0	0
109	0	3.0	0
