	direction	jitter	stop_trial
0	0	3.0	0
1	1	3.0	1
2	1	1.5	1
3	1	1.5	0
4	0	2.25	0
5	0	1.5	0
6	0	0.75	0
7	0	2.25	0
8	1	3.0	0
9	1	3.0	0
10	0	2.25	1
11	1	2.25	0
12	1	0.75	1
13	0	0.75	1
14	1	0.75	0
15	1	1.5	0
16	0	2.25	0
17	1	1.5	1
18	0	3.0	0
19	0	0.75	0
20	0	2.25	1
21	1	1.5	0
22	1	2.25	0
23	1	0.75	0
24	0	0.75	0
25	0	2.25	0
26	1	2.25	0
27	0	1.5	1
28	0	1.5	0
29	1	0.75	0
30	0	0.75	0
31	1	1.5	0
32	0	0.75	0
33	1	0.75	1
34	0	0.75	0
35	0	1.5	0
36	1	3.0	0
37	0	0.75	0
38	1	2.25	0
39	1	3.0	0
40	1	0.75	0
41	0	2.25	0
42	1	0.75	0
43	1	0.75	0
44	1	0.75	0
45	1	3.0	1
46	1	0.75	0
47	0	0.75	0
48	0	3.0	0
49	0	2.25	0
50	0	2.25	0
51	0	2.25	0
52	0	3.0	0
53	0	2.25	0
54	1	1.5	0
55	0	3.0	1
56	1	0.75	1
57	0	1.5	0
58	1	1.5	0
59	0	1.5	1
60	1	3.0	0
61	0	2.25	1
62	1	3.0	0
63	0	3.0	0
64	1	2.25	0
65	0	3.0	0
66	1	3.0	0
67	1	3.0	1
68	0	2.25	0
69	1	2.25	1
70	1	0.75	0
71	1	2.25	1
72	0	3.0	0
73	1	2.25	0
74	1	2.25	0
75	1	2.25	0
76	0	1.5	1
77	1	0.75	1
78	0	0.75	0
79	0	1.5	0
80	0	2.25	0
81	0	1.5	1
82	0	0.75	0
83	0	1.5	1
84	0	0.75	1
85	0	0.75	0
86	1	2.25	1
87	1	1.5	0
88	0	1.5	1
89	1	0.75	0
90	1	0.75	0
91	1	2.25	0
92	0	3.0	1
93	0	1.5	1
94	1	1.5	0
95	0	2.25	0
96	1	2.25	0
97	1	1.5	0
98	1	2.25	0
99	0	1.5	0
100	1	3.0	0
101	0	1.5	1
102	0	0.75	0
103	1	0.75	0
104	1	1.5	0
105	1	0.75	0
106	0	2.25	0
107	1	1.5	0
108	0	2.25	0
109	0	3.0	1
