	direction	jitter	stop_trial
0	1	2.25	0
1	0	3.0	1
2	1	0.75	0
3	1	0.75	0
4	0	3.0	0
5	1	1.5	0
6	0	0.75	0
7	0	1.5	0
8	1	0.75	0
9	0	3.0	0
10	1	0.75	0
11	0	1.5	0
12	0	0.75	1
13	1	2.25	0
14	1	0.75	0
15	0	3.0	0
16	0	3.0	1
17	1	0.75	0
18	1	1.5	0
19	0	3.0	0
20	0	1.5	1
21	0	3.0	0
22	0	1.5	0
23	1	3.0	0
24	0	3.0	0
25	0	2.25	0
26	0	3.0	0
27	1	0.75	0
28	1	2.25	1
29	1	3.0	0
30	0	3.0	1
31	0	2.25	0
32	0	2.25	0
33	0	1.5	1
34	1	0.75	0
35	1	0.75	0
36	0	2.25	1
37	0	0.75	0
38	1	3.0	0
39	0	1.5	0
40	0	0.75	0
41	0	2.25	0
42	1	3.0	0
43	0	3.0	0
44	1	1.5	1
45	1	1.5	0
46	1	3.0	1
47	0	2.25	1
48	1	0.75	0
49	1	0.75	0
50	1	0.75	0
51	0	0.75	0
52	0	1.5	0
53	0	2.25	1
54	0	2.25	0
55	0	0.75	0
56	1	0.75	0
57	0	3.0	0
58	0	1.5	0
59	0	0.75	0
60	1	1.5	0
61	1	3.0	0
62	0	1.5	1
63	0	3.0	0
64	1	3.0	1
65	1	0.75	0
66	0	0.75	0
67	0	2.25	0
68	1	3.0	0
69	1	0.75	0
70	0	0.75	0
71	1	1.5	0
72	1	1.5	0
73	1	2.25	0
74	0	0.75	0
75	1	2.25	1
76	0	0.75	1
77	0	0.75	0
78	1	2.25	1
79	0	0.75	0
80	1	2.25	0
81	1	1.5	0
82	0	1.5	0
83	0	3.0	1
84	0	0.75	0
85	0	1.5	0
86	1	3.0	0
87	1	1.5	0
88	1	2.25	0
89	0	1.5	0
90	1	0.75	1
91	1	0.75	1
92	1	1.5	1
93	0	3.0	0
94	0	0.75	0
95	0	3.0	0
96	0	3.0	0
97	1	2.25	1
98	1	2.25	0
99	1	1.5	1
100	0	2.25	0
101	1	2.25	1
102	1	0.75	0
103	1	2.25	0
104	1	1.5	0
105	1	0.75	1
106	0	2.25	0
107	1	2.25	1
108	1	1.5	1
109	1	1.5	1
