	direction	jitter	stop_trial
0	0	1.5	0
1	0	3.0	0
2	0	0.75	0
3	0	0.75	0
4	0	0.75	0
5	1	2.25	0
6	0	0.75	1
7	0	2.25	0
8	1	3.0	0
9	1	2.25	0
10	1	3.0	0
11	1	2.25	0
12	1	3.0	1
13	1	2.25	0
14	1	0.75	0
15	0	0.75	0
16	1	3.0	0
17	1	2.25	0
18	0	1.5	1
19	1	1.5	0
20	1	0.75	0
21	0	2.25	0
22	0	3.0	1
23	0	0.75	1
24	0	2.25	0
25	1	3.0	0
26	1	3.0	0
27	0	3.0	0
28	0	3.0	1
29	1	3.0	1
30	1	0.75	0
31	1	0.75	1
32	0	3.0	1
33	0	0.75	1
34	0	0.75	0
35	0	1.5	0
36	1	2.25	0
37	1	1.5	1
38	0	3.0	0
39	0	1.5	1
40	0	2.25	0
41	1	2.25	0
42	1	3.0	0
43	0	2.25	0
44	0	3.0	0
45	0	0.75	0
46	0	2.25	0
47	0	3.0	1
48	1	0.75	1
49	1	1.5	0
50	0	3.0	1
51	0	2.25	1
52	1	0.75	0
53	0	1.5	0
54	0	3.0	0
55	1	3.0	1
56	1	0.75	0
57	0	1.5	0
58	1	3.0	0
59	1	2.25	1
60	1	1.5	0
61	0	1.5	1
62	0	0.75	0
63	1	0.75	0
64	1	1.5	0
65	1	1.5	0
66	0	0.75	0
67	0	2.25	0
68	0	2.25	0
69	1	1.5	0
70	1	0.75	0
71	1	3.0	0
72	0	3.0	1
73	1	2.25	0
74	1	2.25	0
75	0	0.75	0
76	1	1.5	0
77	0	1.5	0
78	1	3.0	0
79	0	3.0	0
80	1	0.75	1
81	1	0.75	0
82	1	3.0	0
83	1	0.75	0
84	0	1.5	0
85	0	1.5	0
86	1	2.25	0
87	1	3.0	1
88	0	0.75	0
89	0	2.25	1
90	1	1.5	0
91	1	3.0	0
92	0	0.75	0
93	0	2.25	0
94	1	0.75	0
95	1	2.25	0
96	1	3.0	0
97	0	0.75	1
98	1	0.75	0
99	1	0.75	0
100	0	1.5	0
101	0	1.5	0
102	1	0.75	0
103	0	2.25	1
104	0	0.75	1
105	0	0.75	0
106	0	2.25	0
107	0	0.75	0
108	1	3.0	1
109	1	3.0	1
