	direction	jitter	stop_trial
0	1	0.75	0
1	1	1.5	0
2	1	2.25	0
3	0	1.5	0
4	1	0.75	1
5	0	3.0	0
6	1	2.25	1
7	0	0.75	0
8	0	1.5	0
9	1	2.25	0
10	1	2.25	0
11	1	0.75	0
12	1	1.5	0
13	1	0.75	0
14	0	1.5	1
15	0	3.0	0
16	1	0.75	0
17	0	1.5	0
18	0	0.75	0
19	1	2.25	0
20	0	1.5	1
21	0	1.5	0
22	1	2.25	0
23	0	1.5	1
24	0	3.0	1
25	1	0.75	0
26	1	1.5	0
27	0	3.0	0
28	0	3.0	0
29	1	0.75	1
30	1	1.5	1
31	0	1.5	0
32	1	0.75	0
33	0	2.25	0
34	0	2.25	0
35	0	0.75	0
36	1	1.5	0
37	0	0.75	0
38	0	1.5	1
39	1	2.25	1
40	0	1.5	1
41	0	3.0	1
42	1	1.5	0
43	1	2.25	1
44	0	0.75	0
45	0	1.5	0
46	0	1.5	0
47	1	2.25	0
48	0	3.0	0
49	0	2.25	0
50	1	1.5	1
51	0	2.25	0
52	1	0.75	1
53	1	3.0	1
54	0	3.0	0
55	1	0.75	0
56	0	0.75	0
57	0	1.5	0
58	0	1.5	1
59	0	2.25	0
60	1	1.5	0
61	1	2.25	0
62	1	1.5	1
63	1	3.0	0
64	0	1.5	1
65	0	2.25	0
66	0	0.75	0
67	0	1.5	0
68	1	2.25	0
69	1	3.0	0
70	0	2.25	0
71	1	3.0	0
72	1	2.25	0
73	0	1.5	0
74	1	2.25	0
75	0	3.0	0
76	1	1.5	0
77	0	2.25	0
78	1	2.25	0
79	0	1.5	0
80	1	0.75	1
81	1	3.0	1
82	1	0.75	0
83	0	2.25	1
84	1	3.0	0
85	1	0.75	0
86	0	1.5	1
87	1	1.5	0
88	0	2.25	0
89	1	3.0	1
90	0	2.25	0
91	0	3.0	1
92	1	2.25	0
93	1	0.75	0
94	0	1.5	1
95	1	0.75	0
96	1	2.25	1
97	0	0.75	0
98	0	0.75	0
99	0	0.75	0
100	1	0.75	0
101	0	3.0	0
102	1	1.5	1
103	0	2.25	0
104	1	2.25	0
105	0	3.0	0
106	1	2.25	0
107	1	0.75	0
108	0	2.25	0
109	1	2.25	0
