	direction	jitter	stop_trial
0	0	2.25	1
1	1	2.25	0
2	1	2.25	0
3	0	1.5	0
4	1	0.75	0
5	1	3.0	0
6	1	3.0	0
7	0	2.25	0
8	1	3.0	1
9	0	3.0	0
10	1	2.25	0
11	0	1.5	1
12	0	1.5	0
13	1	0.75	0
14	1	2.25	0
15	1	2.25	0
16	0	1.5	1
17	1	2.25	0
18	1	0.75	1
19	1	3.0	1
20	1	1.5	0
21	0	3.0	0
22	1	3.0	0
23	0	3.0	0
24	0	3.0	0
25	0	2.25	0
26	0	2.25	0
27	0	3.0	1
28	0	1.5	0
29	0	0.75	1
30	1	2.25	0
31	0	1.5	0
32	1	0.75	1
33	1	2.25	0
34	0	3.0	1
35	0	1.5	1
36	0	3.0	0
37	1	3.0	1
38	0	1.5	0
39	1	1.5	0
40	0	1.5	0
41	1	2.25	0
42	0	2.25	0
43	1	2.25	0
44	1	0.75	0
45	1	3.0	0
46	0	0.75	0
47	0	0.75	0
48	0	2.25	0
49	1	3.0	0
50	1	1.5	0
51	0	0.75	0
52	0	1.5	0
53	1	2.25	0
54	1	2.25	0
55	1	0.75	1
56	0	3.0	0
57	1	2.25	1
58	0	0.75	1
59	0	1.5	0
60	0	1.5	1
61	1	1.5	1
62	0	1.5	0
63	0	0.75	0
64	0	2.25	1
65	1	1.5	0
66	0	2.25	0
67	1	2.25	0
68	0	3.0	0
69	0	2.25	1
70	1	1.5	0
71	0	3.0	0
72	1	0.75	0
73	0	2.25	0
74	1	3.0	0
75	0	0.75	0
76	1	2.25	0
77	0	2.25	0
78	1	3.0	0
79	1	3.0	1
80	1	2.25	1
81	0	1.5	0
82	1	0.75	0
83	1	1.5	0
84	1	2.25	0
85	1	0.75	0
86	1	1.5	0
87	0	2.25	1
88	1	3.0	0
89	0	0.75	0
90	1	3.0	0
91	1	3.0	1
92	1	0.75	0
93	0	0.75	1
94	0	0.75	0
95	0	1.5	0
96	0	3.0	0
97	1	3.0	0
98	0	1.5	0
99	0	0.75	0
100	1	1.5	0
101	1	3.0	1
102	1	2.25	0
103	0	0.75	1
104	0	3.0	1
105	0	1.5	0
106	1	0.75	0
107	0	3.0	1
108	1	3.0	0
109	0	3.0	0
